path,page_type,group,sources,gsc_status,gsc_last_crawled,has_rankmath_redirect,rankmath_type,rankmath_dest,is_thirstyaffiliate,ta_name,ta_dest_url,exists_on_new_site,new_site_path,notes,redirect_status
/recommends/niu-kqi-200f,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQI 200F,https://shop.niu.com/products/niu-kqi-200f-foldable-handlebar-electric-scooter?ref=eridehero,no,,,mapped
/recommends/niu-kqi3-pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,NIU KQi3 Pro,https://shareasale.com/r.cfm?b=1982358&u=1602267&m=123068&urllink=shop%2Eniu%2Ecom%2Fcollections%2Felectric%2Dscooter%2Fproducts%2Fniu%2Delectric%2Dkick%2Dscooter%2Dfor%2Dadults%2Dkqi3%2Dpro&afftrack=,no,,,mapped
/recommends/phantom,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Apollo Phantom,https://apolloscooters.co/products/apollo-phantom-2023?sca_ref=229283.5uWLRLT8Fu&sca_source=YouTube,no,,,mapped
/recommends/punkrider,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Punk Rider Pro,https://www.speedwayridersnyc.com/shop/punk-rider-pro-electric-scooter/ref/7/,no,,,mapped
/recommends/segway-e3-pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway E3 Pro,http://eridehero.com/products/segway-ninebot-e3-pro/,no,,,mapped
/recommends/segway-gt2,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway GT2,http://eridehero.com/products/segway-gt2/,no,,,mapped
/recommends/segway-ninebot-max-g2,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway Ninebot MAX G2,https://www.amazon.com/dp/B0C65CMKTK?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.270I59WTKJ959&linkCode=tr1&tag=haxho-20&linkId=amzn1.campaign.270I59WTKJ959_1727166048288,no,,,mapped
/recommends/segwayg30p,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway G30P,http://eridehero.com/products/segway-ninebot-max/,no,,,mapped
/recommends/segwaymaxg2,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Segway Ninebot Max G2,http://eridehero.com/products/segway-ninebot-max-g2/,no,,,mapped
/recommends/splach-twin,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Splach Twin,https://splach.bike/products/splach-twin-a-premium-dual-motor-budget-electric-scooter?sca_ref=3650655.vBUMxX4TzM,no,,,mapped
/recommends/turboantv8,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,TurboAnt V8,https://shareasale.com/r.cfm?b=1414176&u=1602267&m=91403&urllink=turboant%2Ecom%2Fproducts%2Fv8%2Ddual%2Dbattery%2Delectric%2Dscooter&afftrack=YouTube,no,,,mapped
/recommends/varla-eagleone,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Varla Eagle One,https://varlascooter.com/products/varla-electric-scooter?sca_ref=3751983.vUFqJUoQDR&sca_source=youtube,no,,,mapped
/recommends/varla-pegasus-2,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Varla Pegasus,https://varlascooter.com/products/pegasus?sca_ref=3751983.vUFqJUoQDR,no,,,mapped
/recommends/vmax-vx2-hub,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Vmax VX2 Hub,https://vmax-escooter.us/products/vx2-hub-vmax-electric-scooter?ref=eridehero,no,,,mapped
/recommends/vmax-vx2-pro,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,VMAX VX2 Pro,https://vmax-escooter.us/products/vx2-pro?ref=eridehero,no,,,mapped
/recommends/vmax-vx4-gt,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,VMAX VX4 GT,https://vmax-escooter.us/products/vx4?variant=47122420760862&ref=eridehero,no,,,mapped
/recommends/vmax-vx5,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,VMAX VX5,https://vmax-escooter.us/products/vx5?ref=eridehero,no,,,mapped
/recommends/vmax-vx5-pro-gt,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,VMAX VX5 Pro GT,https://vmax-escooter.us/products/vx5?variant=48660149567774&ref=eridehero,no,,,mapped
/recommends/vx2extreme,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,Vmax VX2 Extreme,https://vmax-escooter.us/products/vx2-extreme?ref=eridehero,no,,,mapped
/recommends/x7max,affiliate-redirect,Affiliate Redirects (/recommends/),thirstyaffiliates,,,,,,yes,TurboAnt X7 Max,https://shareasale.com/r.cfm?b=1414176&u=1602267&m=91403&urllink=turboant%2Ecom%2Fproducts%2Fx7%2Dmax%2Dfolding%2Delectric%2Dscooter&afftrack=YouTube,no,,,mapped
/author/abuga-aroni,author,Author Pages,gsc:indexed,indexed,2026-01-29,,,,,,,no,,,no-redirect-needed
/author/abuga-aroni/feed,author,Author Pages,gsc:blocked-robots,blocked-robots,2025-12-07,,,,,,,no,,,no-redirect-needed
/author/rasmus-barslund,author,Author Pages,gsc:indexed,indexed,2026-02-14,,,,,,,no,,,no-redirect-needed
/author/ryan-smith,author,Author Pages,gsc:indexed,indexed,2026-02-06,,,,,,,no,,,no-redirect-needed
/author/rasmus-barslund/page/1,author-pagination,Author Pages — Pagination,gsc:redirect,redirect,2026-02-14,,,,,,,no,,,no-redirect-needed
/author/rasmus-barslund/page/2,author-pagination,Author Pages — Pagination,gsc:noindex,noindex,2025-11-09,,,,,,,no,,,no-redirect-needed
/author/rasmus-barslund/page/3,author-pagination,Author Pages — Pagination,gsc:noindex,noindex,2025-12-19,,,,,,,no,,,no-redirect-needed
/author/rasmus-barslund/page/4,author-pagination,Author Pages — Pagination,gsc:noindex,noindex,2026-01-07,,,,,,,no,,,no-redirect-needed
/author/rasmus-barslund/page/5,author-pagination,Author Pages — Pagination,gsc:404,404,2025-10-10,,,,,,,no,,,no-redirect-needed
/electric-bikes,category,Category Archives,gsc:noindex,noindex,2025-08-15,,,,,,,no,,,no-redirect-needed
/electric-scooters,category,Category Archives,"gsc:indexed, sitemap",indexed,2026-02-12,,,,,,,yes,/electric-scooters,,no-redirect-needed
/electric-skateboards,category,Category Archives,"gsc:indexed, sitemap",indexed,2026-01-30,,,,,,,yes,/electric-skateboards,,no-redirect-needed
/electric-unicycles,category,Category Archives,"gsc:indexed, sitemap",indexed,2026-02-13,,,,,,,yes,/electric-unicycles,,no-redirect-needed
/hoverboards,category,Category Archives,"gsc:indexed, sitemap",indexed,2026-02-15,,,,,,,yes,/hoverboards,,no-redirect-needed
/skating,category,Category Archives,"gsc:indexed, sitemap",indexed,2026-02-13,,,,,,,yes,/skating,,no-redirect-needed
/are-hoverboards-banned-in-the-uk,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-08,,,,,,,yes,/are-hoverboards-banned-in-the-uk,,no-redirect-needed
/are-hoverboards-banned-in-the-uk/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-01-30,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /are-hoverboards-banned-in-the-uk exists on new site,no-redirect-needed
