id,source,matching,destination,type,category,status,ignore
"105","review/apollo-city-electric-scooter-review","exact","http://eridehero.com/apollo-city-electric-scooter-review/","301","","active",""
"106","review/segway-ninebot-zing-e10-electric-scooter-review","exact","http://eridehero.com/segway-ninebot-zing-e10-electric-scooter-review/","301","","active",""
"107","review/razor-e-prime-iii-electric-scooter-review","exact","http://eridehero.com/razor-e-prime-iii-electric-scooter-review/","301","","active",""
"108","review/inokim-light-2-electric-scooter-review","exact","http://eridehero.com/inokim-light-2-electric-scooter-review/","301","","active",""
"109","review/maxfind-ff-plus-electric-skateboard-review","exact","http://eridehero.com/maxfind-ff-plus-electric-skateboard-review/","301","","active",""
"110","acton-blink-s2-electric-skateboard","exact","http://eridehero.com/acton-blink-s2-electric-skateboard-review/","301","","active",""
"110","review/acton-blink-s2-electric-skateboard","exact","http://eridehero.com/acton-blink-s2-electric-skateboard-review/","301","","active",""
"112","maxfind-max2-pro-electric-skateboard","exact","http://eridehero.com/maxfind-max2-pro-electric-skateboard-review/","301","","active",""
"112","review/maxfind-max2-pro-electric-skateboard","exact","http://eridehero.com/maxfind-max2-pro-electric-skateboard-review/","301","","active",""
"113","halo-board-2-electric-skateboard","exact","http://eridehero.com/halo-board-2-electric-skateboard-review/","301","","active",""
"113","review/halo-board-2-electric-skateboard","exact","http://eridehero.com/halo-board-2-electric-skateboard-review/","301","","active",""
"115","swagtron-t6-hoverboard","exact","http://eridehero.com/swagtron-t6-hoverboard-review/","301","","active",""
"115","review/swagtron-t6-hoverboard","exact","http://eridehero.com/swagtron-t6-hoverboard-review/","301","","active",""
"117","king-song-16x-electric-unicycle","exact","http://eridehero.com/king-song-16x-electric-unicycle-review/","301","","active","case"
"117","review/king-song-16x-electric-unicycle","exact","http://eridehero.com/king-song-16x-electric-unicycle-review/","301","","active","case"
"121","gotway-msx-pro-electric-unicycle","exact","http://eridehero.com/gotway-msx-pro-electric-unicycle-review/","301","","active",""
"121","review/gotway-msx-pro-electric-unicycle","exact","http://eridehero.com/gotway-msx-pro-electric-unicycle-review/","301","","active",""
"124","swagtron-t5-hoverboard","exact","http://eridehero.com/swagtron-t5-hoverboard-review/","301","","active",""
"124","review/swagtron-t5-hoverboard","exact","http://eridehero.com/swagtron-t5-hoverboard-review/","301","","active",""
"126","review/king-song-16x-electric-unicycle","exact","http://eridehero.com/king-song-16x-electric-unicycle-review/","301","","active",""
"128","e-twow-gt-se-review","exact","http://eridehero.com/e-twow-gt-se-electric-scooter-review/","301","","active",""
"128","review/e-twow-gt-se-review","exact","http://eridehero.com/e-twow-gt-se-electric-scooter-review/","301","","active",""
"129","products/verreal-rs-pro/","exact","http://eridehero.com/products/verreal-rs-pro-2/","301","","active",""
"130","electric-scooter-pricing-comparison","exact","http://eridehero.com/electric-scooters-prices/","301","","active",""
"131","products/turboant-x8/","exact","http://eridehero.com/products/turboant-v8/","301","","active",""
"133","electric-skateboarding","exact","http://eridehero.com/electric-skateboards/","301","","active",""
"134","segway-ninebot-max-review/","exact","http://eridehero.com/segway-ninebot-max-electric-scooter-review/","301","","active",""
"134","segway-ninebot-max-electric-scooter-review-2/","exact","http://eridehero.com/segway-ninebot-max-electric-scooter-review/","301","","active",""
"135","niu-kqi3-max-relectric-scooter-eview/","exact","http://eridehero.com/niu-kqi3-max-electric-scooter-review/","301","","active",""
"135","niu-kqi3-max-relectric-scooter-review/","exact","http://eridehero.com/niu-kqi3-max-electric-scooter-review/","301","","active",""
"136","products/apollo-city-pro-2022/","exact","http://eridehero.com/products/apollo-city/","301","","active",""
"136","products/apollo-city-pro-2023/","exact","http://eridehero.com/products/apollo-city/","301","","active",""
"136","products/apollo-city-2/","exact","http://eridehero.com/products/apollo-city/","301","","active",""
"137","apollo-city-pro-2022-electric-scooter-review/","exact","http://eridehero.com/apollo-city-pro-electric-scooter-review/","301","","active",""
"138","how-we-test-electric-rides/","exact","http://eridehero.com/how-we-test/","301","","active",""
"139","disclaimer/","exact","http://eridehero.com/disclaimers/","301","","active",""
