Name,"Destination URL",Slug,"Categories (separated by semicolons)","Images To Download & Attach (separated by semicolons; jpg/png/gif only)","Geolocations Links (format: AU:http://google.com.au separated by semicolon)","Autolinker Keywords (separated by semicolon)",_ct_builder_shortcodes,_ct_other_template,_ct_template_404_page,_ct_template_all_archives,_ct_template_apply_if_archive_among_authors,_ct_template_apply_if_archive_among_cpt,_ct_template_apply_if_archive_among_taxonomies,_ct_template_apply_if_post_of_parents,_ct_template_archive_among_taxonomies,_ct_template_archive_post_types,_ct_template_archive_post_types_all,_ct_template_authors_archives,_ct_template_authors_archives_all,_ct_template_blog_posts,_ct_template_categories,_ct_template_categories_all,_ct_template_custom_taxonomies,_ct_template_custom_taxonomies_all,_ct_template_date_archive,_ct_template_exclude_ids,_ct_template_front_page,_ct_template_include_ids,_ct_template_index,_ct_template_inner_content,_ct_template_order,_ct_template_post_of_parents,_ct_template_post_types,_ct_template_search_page,_ct_template_single_all,_ct_template_tags,_ct_template_tags_all,_ct_template_taxonomies,_ct_use_template_taxonomies,_oxygen_lock_post_edit_mode,_ta_after_expire_redirect,_ta_autolink_keyword_limit,_ta_before_start_redirect,_ta_category_slug,_ta_category_slug_id,_ta_css_classes,_ta_link_expire_date,_ta_link_start_date,_ta_new_window,_ta_no_follow,_ta_pass_query_str,_ta_redirect_type,_ta_rel_tags,cmplz_hide_cookiebanner,surfer_current_traffic,surfer_post_traffic_archive,surfer_previous_perios_traffic,surfer_traffic_update_date
"NIU KQi3 Max",https://shop.niu.com/collections/electric-scooter/products/niu-kqi3-max-electric-kick-scooter-for-adults?ref=eridehero,kqi3max,"Electric Scooters",,DK:https://shopeu.niu.com/products/niu-kqi3-max-electric-kick-scooter-for-adults-eu-version?ref=eridehero;SE:DK;DE:DK;GB:DK;FR:DK;AT:DK;BE:DK;BG:DK;HR:DK;CY:DK;IE:DK;IT:DK;ES:DK;SI:DK;SK:DK;RO:DK;FI:DK;EE:DK;HU:DK;LV:DK;MT:DK;NL:DK;PL:DK;PT:DK;CZ:DK;GR:DK;CA:https://shopca.niu.com/collections/kick-scooter/products/niu-kqi3-max-electric-kick-scooter-for-adults?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Ninebot Max G2",http://eridehero.com/products/segway-ninebot-max-g2/,segwaymaxg2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"NIU KQi3 Pro",https://shareasale.com/r.cfm?b=1982358&u=1602267&m=123068&urllink=shop%2Eniu%2Ecom%2Fcollections%2Felectric%2Dscooter%2Fproducts%2Fniu%2Delectric%2Dkick%2Dscooter%2Dfor%2Dadults%2Dkqi3%2Dpro&afftrack=,niu-kqi3-pro,"Electric Scooters",,CA:https://shopca.niu.com/collections/kick-scooter/products/niu-electric-kick-scooter-for-adults-kqi3-pro?ref=eridehero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Emove Cruiser S",https://www.voromotors.com/products/emove-cruiser?ref=eridehero,cruiser-s,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo Ghost",https://apolloscooters.co/products/apollo-ghost?sca_ref=229283.5uWLRLT8Fu&sca_source=youtube,apollo-ghost,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Kaabo Mantis V2",https://fluidfreeride.com/products/kaabo-mantis-v2-fluid-edition?ref=26,kaabo-mantis-v2,"Electric Scooters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,global,global,global,global,,,,,,
"Varla Eagle One",https://varlascooter.com/products/varla-electric-scooter?sca_ref=3751983.vUFqJUoQDR&sca_source=youtube,varla-eagleone,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Segway Ninebot MAX G2",https://www.amazon.com/dp/B0C65CMKTK?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.270I59WTKJ959&linkCode=tr1&tag=haxho-20&linkId=amzn1.campaign.270I59WTKJ959_1727166048288,segway-ninebot-max-g2,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo City Pro YouTube",https://apolloscooters.co/products/apollo-city-24?sca_ref=229283.5uWLRLT8Fu,apollo-city-pro,"Electric Scooters",,CA:https://apolloscooters.ca/products/apollo-city-24?sca_ref=9799635.O1zYedtKbH,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Apollo City Pro 2023",http://eridehero.com/products/apollo-city-pro-2023/,apollo-city-pro-2023,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Splach Twin",https://splach.bike/products/splach-twin-a-premium-dual-motor-budget-electric-scooter?sca_ref=3650655.vBUMxX4TzM,splach-twin,"Electric Scooters",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Lycaon GR 2021",https://www.lycaonboard.com/products/lycaon-gr,lycaon-gr-2021,"Electric Skateboards",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Backfire G2",https://shareasale.com/r.cfm?b=1446996&u=1602267&m=92892&urllink=www%2Ebackfireboards%2Ecom%2Fproducts%2Fbackfire%2Dg2%2Dblack%2Dwith%2Dsuper%2Dpower%2Dhobbywing%2Dmotors%2Dand%2D96mm%2Dwheels%2Dwith%2D180%2Ddays%2Dwarranty%2Despecially%2Dsuitable%2Dfor%2Dbeginners&afftrack=,g2,"Electric Skateboards",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,,,,
"Maxfind Max4 Pro",https://www.maxfindboards.com/products/electric-skateboard-max4-pro?sca_ref=193324.BcvErmxPy7,max4pro,"Electric Skateboards",,,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,"a:2:{s:6:""clicks"";i:0;s:11:""impressions"";i:1;}","a:1:{i:0;a:3:{s:4:""date"";s:10:""2023-08-29"";s:6:""clicks"";i:0;s:11:""impressions"";i:1;}}",,"2023-08-29 16:35:16"
"Apollo Phantom",https://apolloscooters.co/products/apollo-phantom-2023?sca_ref=229283.5uWLRLT8Fu&sca_source=YouTube,phantom,"Electric Scooters",,CA:https://apolloscooters.ca/products/apollo-phantom-2023?sca_ref=229283.5uWLRLT8Fu&sca_source=YouTube;GB:https://www.rideandglide.co.uk/product/apollo-phantom-electric-scooter?ref=eridehero;DK:GB;SE:GB;IE:GB;BE:GB;FR:GB;ES:GB;NL:GB;IT:GB;PT:GB;NO:GB;PL:GB;CH:GB;FI:GB,,,0,,,,,,,a:0:{},a:0:{},,a:0:{},,,a:0:{},,a:0:{},,,,,,,,0,a:0:{},a:0:{},,,a:0:{},,"a:2:{s:5:""names"";a:0:{}s:6:""values"";a:0:{}}",,,,0,,,0,,,,global,global,global,global,,,"a:2:{s:6:""clicks"";i:0;s:11:""impressions"";i:1;}","a:1:{i:0;a:3:{s:4:""date"";s:10:""2023-09-26"";s:6:""clicks"";i:0;s:11:""impressions"";i:1;}}",,"2023-09-26 13:35:06"
